"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,0.0953335911927904,0,0.0825929311896535,0.17851908925212,-0.0348917402485515,0.312711806555377,0,0,0,0,0,0,0,0,0,0.0547685833354595,0.0957931042236278,0.0273421720387634,0,-0.157257641578392,0,0,0,0.390637691788544,0.0383502426691717,0,-0.177593067018182,0,0,0,0.260815339247587,0,-0.119694273944144,-0.27735986701849,0.391914350536939,-0.335165435120575,-0.287170948017477,0,-0.0993969878477929,0,0,0,0,0,0,-0.0433370762208078,0
"2",0.0341467890781432,0,0,-0.053453845630003,0,0,0.122791906212036,0.162854389752314,0,0,-0.030980147463128,0.0555095846738968,0,0,0,0,0,-0.0386410305641846,0.140974412749453,0,0,-0.259946079646162,-0.211937447958671,-0.0166765308682503,0.137595924978517,0.100467899966432,0.119224955966942,-0.148986590186342,-0.0221730501264899,0,0,0.333079077949919,0.405157179645894,0,0,0,0,0,-0.0520905327498469,0,0,-0.0441305719433026,0,0,0,0,0,0,0
"3",0,0,0,0,-0.118351941390681,0,0.157100616383042,0,-0.0727063569616844,0,0,0.264215489427963,0,0,0,0.116512919735553,0,-0.0753875174006136,0,0.017192861796176,0,0,0,0,0.0314070369336842,0.000267616834625528,0.0213626638054854,0,-0.0859886036030503,-0.106082891583235,0,0,0,0.681479149786709,-0.204435318417556,-0.0712146718083728,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0.134781364788812,0,0,0,0,0,0,-0.0256372548572975,0,0,0,0,0,-0.0246785048795555,0,0,0,0,0,0,0,0,0.0791929303909295,0,-0.0341339613032566,-0.0131916242044931,0,0,0.39129517214738,0,-0.137381142651649,0,0,0,-0.0808725089797849,-0.00436878451144161,0,-0.126955928871737,0,0,0,0,0,0,-0.271049063095521
"5",0,0,0.158927197709075,0,0.219552968559831,0,0,0.155556748209634,-0.217119910292306,0,0,-0.510362621025981,-0.214846636288152,0,-0.455642790718169,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.146291873379892,0.00899394307303533,0,-0.0369762832430275,0,0.33752668588994,0.37183532157005,0,0,0,0,0.511215864344447,0,-0.531563255602754,0.579124007292495,-3.46944695195361e-18,0,0,0,0.304598042309701,-0.13322395396336,0.0221445462753459,0,0
"6",-0.0847960371056679,0,0,-0.158457161662538,0.0314668871765778,0,-0.361797767597672,0,0,0,-0.176221853763907,0,0.164749584884937,0.34797456419995,0.481343547399423,0,0.207583603531571,0,0,-0.0193282799507472,0,0,-8.67361737988404e-19,-0.164275888175962,0,0.0733376255811445,0.109455434642238,-0.199109255659186,0,-0.35997727144077,0.366920935452271,0,0,0,-0.0793561442989164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.172486797868509,0.032191768013917,0.0128548751478316,0,0.102641571931301,0,0,0,-0.378897643156458,0,0,0,0,0.301043869042728,0.209902110049515,0,0,1.73472347597681e-18,0,0.0123443316770591,0,0,-0.0695798721244722,8.67361737988404e-19,0,0.152622793504753,0.0892814554257234,-0.0546455823533157,0.0170076925006789,-0.273074596885775,0,0,0.216540735646316,0,0,0.0847631279790176,0.246533183944514,-0.393817656891682,-0.286171364102076,0,0,0,0,-0.00661590960988036,0,0,0.0353110626492415,0,0
"8",0,0,0,-0.0646296160501988,0.0807075601828692,0,-0.0532243889418869,0.102795057968474,-0.214624867193968,0,0,0.066602576782165,0,0.0991004727662169,0,0,0,0,0,0,0,0,0.173028882566581,-0.155233341485033,0,0,0,-0.0102713039919107,-0.0708219988795382,0,0,0,0.00814058888540017,0,-0.0557425490545915,0,0,-4.4901000572967e-05,0,0,0,0,0,0,0.0599204588280973,0,0,0.137651262671316,-0.0398676211986014
"9",0,0,0,-0.114749314582866,0.0330907943527191,0,-0.101557139156421,0,-0.356438707569128,0,-0.0646273179790908,0.0589506572511468,0,0,0.0470206263537863,5.42101086242752e-20,0,0,0,0,0,-0.10776224712611,0.101459129258248,-0.0144326812762924,0,0.154111924976784,0.0860740998069889,-0.0941106292661838,-0.0989120746114304,0.0575498245403775,0,0,0.210668277956288,0,0,0,0,0,-0.106827450028047,0.334497950464381,-0.0402440624284514,0,0,0,0,0,-0.0367788524260585,0,0
"10",0,0,-0.0117075510316604,0,0,0.0263770978145843,0,0,0,0,0.0575140883634867,0.147250483511362,0,0.244930126503781,0,0,0,0.257817617500571,4.33680868994202e-19,0.0178925803467099,0,-0.418288686458239,-0.0963926735189347,-0.0826631945793544,0,0.194504243034214,-0.0379098865231174,-0.0918640142423201,0,-0.308450195448771,0,0,0,0,0.182012750683621,0.202293105956127,0.0105074406184908,0,-0.197818547186445,0,0,0,0,0,0,0.160014152073409,0,0,0
"11",0,0,0.0896934418131637,0.347354056994347,0.0911162793447182,0,-0.319179034298387,0,-0.498999795739064,0,0,0,-0.2159828550344,0,0,0,0,0.0503703776345072,0,0,0,0,0,0,0,0,0,-0.0510355775893213,0,0,0,0,-0.0458868566162023,0,0.0638448755371111,0,0.0603900971626985,0,0,0.333216005888702,6.93889390390723e-18,0,0.0932559789936602,0,0,0,0.0381649742917372,0.0906755987065564,0
"12",0,-0.669422629506252,0.272172204776459,0,0.0686418609029921,1.73472347597681e-18,0,0.169863201009257,0,0,0,0,0.0580457874034426,0.213889984111551,0,-0.0141432095305751,0.0379373390113459,0,0,0,-0.24638631388614,0,0.171523156305536,0,0,0,0.142169363567321,0,0,-0.20302462420457,0.323045450225013,0,0.196761793348577,0.0936667422090758,0,0,0,-0.290734280450848,0,0,0.0225008676533359,0,0,0,0,0,0,0.0104852020025082,0
"13",-0.0363092617885236,-0.471884528195496,0.0454725626988437,0,0.0869314640483984,-0.114452305901388,0.169676395139409,0,0,0,0.207392004383212,0,0,0,-0.234904479562287,0,0,0,0,0,0,0,0.0576492487687781,0,0,0.0369402806903697,0.0999239408473178,0,-0.0646368169908537,0,0.3147248503609,0.0796889137854835,0.31510755775277,0,0,0,-0.017019703482652,-0.132437110749554,-0.0452592536572399,0.0307304052173292,0,0,-0.0535222386650045,0.216915848998567,0,0,-0.174541910565062,0,0
"14",0,0,0,0,0.150055640742702,0,-0.114732999442793,0.111065526649157,-0.319670425509095,0.152803140671756,0.151093519151562,0,-0.149735002619996,0.132875180135771,0,-0.321551825481769,0.294277985693736,0,0,0,-0.823351129489243,0,-4.33680868994202e-19,0,0,0.076773050178072,0.217100643351444,-0.083530305448757,0,-0.0758745297381646,0,0,0.286390537232668,0,0,0,0.264692047901182,0,0,0,0,0,0,0,0,-0.278981933108933,0.0270987045853473,0,0
"15",0,0,0.104299162220817,0,0,-0.222357850375305,0,0,-0.557812621897187,0,0.0572680513452261,0.0629826865781689,0,0,0,0,0.0346043362075889,0,0,0.0661928361442465,-0.0522751405648218,0,-0.0320514527452121,0,0,0.391530203989088,0.0905792154286954,-0.109841630291822,-0.0718187620977961,0,0,0,0,0,0.337056610629825,0,0.016214731602107,0,-0.0626523250912631,0,0,0,0,0,0,0,0,0,0.0167395900604011
"16",0,0,0,-0.247867308721807,-0.0565926058481929,0,0.239865146795395,0,-0.05930333544962,-0.192678151439605,0,0.0826358035232442,0,0.460239506231961,0,0,0,-8.67361737988404e-19,0,0,0,-0.0237260294819953,0,0,0,0,-0.0415737424749644,0,0,-0.0804868762284887,0,0,0.105584481902893,0,0,0,0,0,-0.771346565228462,-0.0989895438572298,0,0,0,0,0.736169581529998,0,-0.0221365693598687,0,0.312644404148178
"17",0,0,0,-0.0538168693723225,0,0,0,0,0,0,0,0,0.0100881980117625,0,0.239154063876048,-4.33680868994202e-19,0,0,-0.212265602819485,-0.165502391229788,0,0,0,0,0,0,0.186529985429479,0,-0.0410280866676624,0,0,0,0.0926814517973227,0,0,-0.020262154772028,0,0,0,-0.000967310662844519,0,0,0,0,0,0,0.0510389303725741,0,0
