"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,0.0753098633861611,-0.0204201817520927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618056059092539,0,0,0,0,0,0.0204730657707676,0,0,0,0,0,-0.0316855758180337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360821299987469
"2",0,0,0,0,0,0,0.0395207786745842,0,0,0,0.0181995077876942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161821295499855,0,0,-0.0362399731263932,0,0.0362247479520202,0,0,0,0,-0.00800981035259443,0,0,0,0,0,0,0,0,0,0,0,0,0.011498781312831
"3",0,0,0,0,0,0,0,0,0,0,0.0622508736862454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023635278743686,0,0,-0.108626170417937,-0.0287038351317378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0.010062059800255,0,0,0,0,0.030859816499684,0.0428701266016521,0,0,0,0,0,0,0,0,-0.0450706582953693,0,0,0,0,0,0,0,0,-0.0424496621549415,0,0,0,0,0,0.00683046566244705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0113303675945754,0,0,0,0,0,0.000379126509355958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685766804056828,0,-0.0253112278649425,0,0,0,0,0,0,-0.0254761380405434,0,0,0,0,0,0,0,0,0,0.0643914266894261,0,0,0
"6",0,0,0,0,-0.0516715642719732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572084006978425,0,0,0,0,0,0,0,0,0,0,0,0.0385879537414097,0,0.0658475479153331,0,0
"7",0,0,0,0,0,-0.137659420294771,0.0842350517865203,0.0632068365340849,0,0.0475122893516804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322497048672275,-0.011343124602266,0,0,0,0,0,0,0,0,0,0,0.02147695042369,0,0.0195900890233962,0,0,0,0,0,0.0952584640343616
"8",0.0322229423993845,0,0,0,0,0,0.0371394634569825,0,0,0.00414988076498332,0,0,0,0,0,0,0,0,-0.0218048752826063,0,0,0,0,0,0,0.0536838577950825,-0.00695580233263032,0,0,-0.0294284937694076,0,0,0,0,0,0,0,0,0,0,0,0,0.0364131830178632,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0.0874584301978811,0,0,0,0,0,0,0,0,-0.0560115703353373,0,0,0,0,0,0,0,0,-0.0261266526043285,-0.0262421254536538,0,0,0,0.00737633527619757,0,0,0,0,0,0,0,0,0,0,0.0350819726665218,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0400547456441932,0.00835405149569968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00846594711126656,0,0,-0.101482732265829,0,0,0,0,0,0,0,0,0,0,0,0,0.0444673791066494,0,0,0,0,0.0611850186317751,0
"11",0,0,0,0,0,0.01896460680379,0.0334345995033228,0,0,0,0.0629555246364272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611778760064181,0,0,0.0117751053431135,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0.0122073686339678,0.0875043282257248,0,0,0.00424502812238517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316286282798034,0,-0.0104481070842504,-0.0105032307276817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020051120512339
"13",0,0,0,0,0,0,0,0,0,0.0241315129063024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100737998396825,-0.0324522365284716,-0.0332899708177628,0,0.0797750105568985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.0183588337799385,0,0,0,0,0,0,0,0,0.0346067650202756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218255864497144,0,-0.0284548243373697,-0.0619497199421879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0.077403700864612,0,0,0,0,0.0481406488823594,0,0,0,0,0,0,0,0,-0.0315114424435082,0,0,0,0,0,0,0,0.000840577945828462,0,0,0,0,0,0,0.015002257976021,0,0,0,0,0.0391719712895127,0,0,0,0
"16",0,0,0,0,0,0,0.035162336750978,0,0,0.0613748004448156,0,0,0,0,0,0.0175000201032921,0,0,0,0,0,0,0,0,0,0,0,0,-0.00819771692243409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575043777068465,0
"17",0,0,0,0,0,0,0.0195535580111338,0,0,0.0432357210332941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321510038291498,-0.0372179928749538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522525042983788,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0.159953827936257,0,0,0,0,0,0,0,-0.0970724397770454,0,0,0,0,0,0,0,0,0,0.00704086302411134,0,0,0,0.00348987614508545,0,0,0,0,0,0,0,0,0,0,0,0.0612311367623958,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0.0024978792561237,0,0,0,0,0,0,0,-0.0795665834923505,0,0,0,0,0,0,0,0,0,0,-0.0186872255795479,0,0,0,0,0,0.0213436761252814,0,0,0,0,0,0,0,0,0.0508989183761224,0,0,0,0
"20",0,0,0,0,0,0,0,0.00233706678258682,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459327355959984,0.0966133672718893
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226338293774375,0,0,0,0,0,0,0,0,0,0,0,0,0.0647557511347835,0,0,0,0,0,0,0,0.0307513901418289,0.0162196089307976,0,0
"22",0,0.00361376444032916,0.032380741670499,0,0.0267113297883304,-0.0221181735850724,0.073014363610229,0,0,0,-0.0242935364505909,0,0,0,0,0,0,0,-0.0286058008419417,0,0,0,0,0,0,0,0,0,-0.0367561446148181,-0.106764338110831,0,0,0,0,0,0,0,0,0,0.0793395091792382,0,0,0,0,0,0,0,0,0
"23",0.0320019626798332,0,0,0,0,0,0,0.0960845085758581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00268094012920042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964756226561709,0,0,0,0,0,0
"24",0,0,0,0,0,0,0.0996931773910186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094802044340059,0,0,-0.0295038359833341,0,0,0,0,0,0,0.0160937981170983,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0.100002116536844,0,0,0,0,0,0,0,0.0070635239182895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770743461662154,0,-0.0377226279748546,-0.0182710260988097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0.0693529539897116,0,0,0,0,0,0.0479317386999656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340501678856303,0,0,0.0296538301231625,0,-0.0335949683908926,0,0.0349326634790967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106022762927973,0,0,0,0,0
"28",0,0,0,0,0.0164283794446696,0,0,0,0,0,0.0399613986905584,0,0,0,0,0,0,0.0685336608831468,0,0,0,0,0,0,0,0,0,0,-0.0189911024526049,0,0,0,0,0,0,0,0.0211463162719084,0.0169843572942846,0,0,0,0,0,0,0,0,0,0,0.00504021371390102
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608530565063548,0,0,0,-0.0741300905911439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,-0.0256431542085475,0,0,0,0,0,0.0407261904896816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952044151299892,0,-0.0166762568491235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,-0.0233147808232969,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351662261288066,0,-0.00391434612316321,0,0,0.0568850544081739,0,0,0,-0.0181284901639665,0,-0.0144321140369698,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,-0.011547553360087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058386347287627,0,-0.043127011047636,0,0,0,0.00788591903815223,0.0497873509483769,0,0,0,0,0,0,-0.0239437664585223,0,0,0,0,0,0,0.0428388012657121,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901427346193808,0,0,-0.0515239446590554,0,0,0.0395894969548742,0,0,0,0.0214139893977016,0,0,0,0.0197980015185848,0,0,0,0,0,0,0.0287222288408094,0.0186500398571806
"34",0,0,0,0,0,0,0.0576495884055289,0.0285185721887333,0,0,0,0,0,0,0,0,0,0,-0.0450556487543883,0,0,0,0,0,-0.0161968905286317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500032781812544,0,0.0397617506931125,0
"35",0.0534479662478172,0,0,0,0,-0.113971384207276,0,0.264001390959445,0,0,0,0,0,0,0,0,0,0,-0.0133335104402429,0,0,0,0,0,-0.0797873471462254,0,0,0,0,-0.0420234860286443,0,0,0,0,-0.0523440251215125,-0.0110627004399756,0,0.082643259524624,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,-0.0579936080596909,0,0,0,0,0.121715055095517,0,0,0,0,0,0,0,-0.0424084684305477,0,0,0,0,0,0,0,0,0,0,-0.11783870992781,0,0,0,0,0,0,0.0267234345658802,0.118781577154097,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0.0179210891641953,0,-0.0753908932964377,-0.076017268759729,0,0.14195932222605,0,0,0,0,0,0,0,0,0,0,-0.114664776007448,0,0,0,0,0,-0.0706676118098213,0,0,0,0,-0.0519024599308451,0,0,0,0,-0.00585393976905661,0,0.0631861178866394,0,0,0,0,0,0.0265595331718262,0,0,0,0,0.0904715884534061,0.0179297344859093
"38",0.0482785252021286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0239520721665768,0,0,0,0,0,0,0,0.0171114083154171,0,0,0,0.0399945972415732,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0.034159129605572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272765335977391,-0.0523018962547197,-0.00560163817648416,0,0,0,0,0,0.019306519132077,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0.0398791859432804,0,0.0177252645317551,0,0,0.0309258664054402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0848052135119193,-0.0161147695898275,0,0,0,0,0.0142423526677081,0,0,0,0,0,0,0,0.0103058870037644,0,0,0,0,0,0
