"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,-0.0902226504648765,-0.222224882078536,0,0.0507078168846356,0,0.0411558935790503,0,-0.0335428346108805,-0.0662299749878462,0,-0.132127851938749,0,0,0,0,0.271709460176829,0,-0.136541428546527,0,0,0,0,0,0,0,-0.118079378403445,0,-0.0577567582596198,0.214367222076696,-0.163746462003885,0,0,0,0,0.0461325204792584,0,0,0.0196637854838273,0,0,0,-0.129472963768129,0,0,0,0,0.23492813401682
"2",0,0,-0.106081507644296,0,0,0,0,0,0,0,0,-0.0765279194538981,-0.0837324426921685,0,-0.0866055515317862,0,0,0.0204720879931685,0,0,0,0,0,-0.00954003108984032,-0.173387995618519,0,-0.0990448298923485,0,0.00728428501582532,0,0.153041623541217,0,0.0294614761687507,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.115602569169651,-0.0262688761937943,0,0
"3",0,0,0,-0.0856267020187413,0,-0.0308287564664689,0,0,0,0,0.0125884614538576,-0.101753978816811,0,0,0,0,0,0.0426514498146398,-0.235157555978969,0,0,0,0,0.470192530570058,-0.322993574064744,-0.182422518016586,-0.010568981507621,0,-0.0044156672871718,-0.0354727189251256,0.193415780283064,-0.195735026975989,0.323341081865044,0,-0.113923223522765,0,0,0,0,-0.0796661846266282,0,0,0,-0.0693473079390762,0,0,0,0,0
"4",0,0,0,0,0.0508271998828396,-0.0786594621324582,0.0525070624453915,0,0.0285437538980753,0,0,0,0,0,-0.197025380983708,0,0,0,0,-0.106613980285982,0,-0.250220974482869,0,0,-0.0467338700742384,-0.0409787499086703,0.014507925198725,0.107476851647108,-0.0641653007552424,-0.424908483798046,0,-0.00399170119832389,0,0.76907570293596,0,-0.106161393114936,0,0,0,0,0,0,0,0,0,0,0,0,0.00986064777572793
"5",0,0,0,0,-0.0131260013427257,0,0,0.191950483212065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509630280144314,0,-0.015687171983933,-0.131254662418282,0.0195686104230394,0,-0.025894774029628,-0.278536699824641,0,0,0.0191595803821755,0,0,0.00986873072035064,0,-0.0459322889007818,0,0,0,0,0,0,0,0,0,0,0
"6",0,-0.266766448862612,0,0,0,-0.00272459343341636,0,0,0,0,0,0,-0.037483746396269,0,0,0,0,0.0903993309089302,0,0,0,0,0,-0.052071468141468,0,-0.129121454232208,0.0163678094002849,0,-0.0304699748704439,-0.0317724985325981,0,0,0.140036272232967,0,0,0,0,0,0,0,0,0,0,-0.134292289743227,0.129331667029677,0,0,0,0
"7",0,-0.0101710904210361,0,0,0,-0.261923012638312,0.248621699098353,0.0371023248961027,0,0,0.0399637942523696,-0.254303187811168,0,0,0,0,0,0,0,0,0,0,0,0,-0.159068886735735,-0.0647111344784061,0,0,-0.186789325921362,0,0,0,0.272070895308663,0.298317905364705,0.0896209554898228,-0.134223904779652,0,0,0,0,0,0,0,-0.0225601844822304,0.328050868516762,-0.078052342490905,0,0,0.0610297134097065
"8",0.0331534611140988,0,0.0753067611080021,0,0.0997454749978406,0,0.177402235129649,0,0,0,-0.043462752823819,-0.0617930348858383,0,0,-0.0305996190748394,0,0,0,0,-0.208802491083503,0,-0.116690746231548,0,-0.06559157962592,0,-0.0721630994780171,0.122748497511123,-0.129989271815213,-0.0816426293319273,-0.0934502544649584,0.0382146141344077,0,0.113137552090276,0.0368712721865303,0,0,0,0.00782716142209107,0,0,0,0,0,0,0,0.0977237240201658,0.0155273462692869,0,0
"9",-0.0091357103624189,0,-0.0199906453188473,0,0.00382384947069727,-0.0631153448702594,0,0,0,0,0,-0.31698086782703,0,0,-0.06150299283517,0,0,0,-8.67361737988404e-19,0,0,-0.0155773544579703,0,0,0,-0.0496619665504017,0,-0.143287783101077,0,-0.292483587919866,0,0,0.225659443088106,0.267008513390164,0,0,0,0,0,-0.0938370121267636,0,0,0,0,0,0,0.0236660922496067,0.145190382746279,0.0378257168582808
"10",0,0,0,0,0.00453814642590004,-0.104674949113342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317856480731908,0,0,0,-0.0290128603137142,-0.0192603883063393,-0.101265170004654,-0.0251013653399771,0,-0.122582562906645,-0.129820963635547,0.404945981945541,0,0.0758244037352547,0,0.231462662907653,-0.0187299745503422,0,0.0302696964897311,0,0,0,0,0,0,0,0,-0.045927702738463,0,-1.73472347597681e-18
